episode,reward,length,x_pos,epsilon,loss,flag_reached,time
1,-27.30,296,1410,0.0200,0.415359,0,2.8
2,21.50,180,1432,0.0200,0.476554,0,4.5
3,-78.40,558,1948,0.0200,0.314502,0,9.6
4,7.70,356,1999,0.0200,0.447783,0,13.1
5,-30.50,29,309,0.0200,0.602795,0,13.3
6,40.90,191,1671,0.0200,0.605930,0,15.3
7,-256.40,798,1127,0.0200,0.478981,0,23.2
8,-9.50,98,797,0.0200,0.447123,0,24.1
9,8.40,136,1128,0.0200,0.477827,0,25.5
10,-68.60,254,830,0.0200,0.828784,0,28.0
11,26.50,163,1417,0.0200,1.204227,0,29.7
12,52.90,190,1789,0.0200,1.038681,0,31.6
13,16.20,123,1153,0.0200,0.897738,0,32.8
14,14.30,122,1128,0.0200,0.797569,0,34.0
15,-29.50,27,311,0.0200,1.057897,0,34.3
16,40.70,154,1521,0.0200,0.776417,0,35.8
17,50.70,167,1673,0.0200,0.849450,0,37.6
18,-10.80,83,722,0.0200,0.713123,0,38.4
19,-17.90,407,1947,0.0200,0.723425,0,42.4
20,57.20,179,1788,0.0200,0.653494,0,44.2
21,41.90,190,1679,0.0200,0.642937,0,46.1
22,-25.90,223,1130,0.0200,0.591346,0,48.4
23,59.20,234,2026,0.0200,0.650551,0,50.7
24,-31.30,30,305,0.0200,0.596203,0,51.0
25,37.90,466,2741,0.0200,0.617076,0,55.6
26,-31.10,30,307,0.0200,0.611640,0,55.9
27,-31.10,30,307,0.0200,0.640974,0,56.2
28,184.10,1580,3161,0.0200,0.567122,1,71.7
29,72.70,199,2023,0.0200,0.535875,0,73.7
30,-11.10,74,683,0.0200,0.640381,0,74.4
31,-6.40,60,676,0.0200,0.824888,0,75.0
32,50.40,200,1802,0.0200,0.618898,0,77.0
33,-64.80,262,898,0.0200,0.648330,0,79.6
34,53.60,159,1672,0.0200,0.714781,0,81.2
35,15.10,118,1125,0.0200,0.613541,0,82.4
36,-14.00,81,684,0.0200,0.606561,0,83.2
37,-134.00,378,670,0.0200,0.660748,0,86.9
38,19.70,107,1125,0.0200,0.609780,0,88.0
39,62.90,167,1795,0.0200,0.585868,0,89.6
40,-4.50,167,1122,0.0200,0.572718,0,91.3
41,71.60,201,2020,0.0200,0.634726,0,93.3
42,50.60,197,1794,0.0200,0.664826,0,95.4
43,-44.30,339,1413,0.0200,0.673034,0,98.6
44,68.50,321,2466,0.0200,0.647368,0,101.6
45,62.40,338,2473,0.0200,0.660037,0,104.9
46,57.70,178,1789,0.0200,0.661898,0,106.6
47,95.10,254,2468,0.0200,0.844714,0,109.0
48,17.20,117,1137,0.0200,0.592631,0,110.1
49,-802.80,2005,596,0.0200,0.742468,0,129.8
50,49.70,438,2749,0.0200,1.141511,0,134.1
51,-142.90,850,2471,0.0200,0.988088,0,142.5
52,-39.40,45,284,0.0200,0.921296,0,142.9
53,-278.00,1017,1788,0.0200,0.777531,0,153.1
54,48.40,201,1788,0.0200,0.720783,0,155.2
55,46.20,248,1954,0.0200,0.817946,0,157.7
56,-204.20,996,2466,0.0200,0.720898,0,167.6
57,37.40,139,1427,0.0200,0.611539,0,169.0
58,-31.00,133,722,0.0200,0.661013,0,170.3
59,58.70,174,1781,0.0200,0.557941,0,172.1
60,56.30,180,1783,0.0200,0.739238,0,173.9
61,60.50,171,1787,0.0200,0.685081,0,175.6
62,-6.60,62,682,0.0200,0.616463,0,176.2
63,70.40,189,1958,0.0200,0.679807,0,178.0
64,598.10,545,3161,0.0200,0.666153,1,183.2
65,-8.90,106,833,0.0200,0.699394,0,184.3
66,-414.20,1529,2471,0.0200,0.677585,0,199.6
67,36.80,139,1421,0.0200,0.542941,0,201.0
68,43.00,253,1942,0.0200,0.735663,0,203.5
69,67.80,323,2468,0.0200,0.779375,0,206.8
70,74.00,308,2470,0.0200,0.605768,0,210.1
71,52.50,189,1781,0.0200,0.741742,0,212.1
72,25.00,168,1419,0.0200,0.628621,0,213.9
73,-5.70,59,677,0.0200,0.818320,0,214.4
