episode,reward,length,x_pos,epsilon,loss,flag_reached,time
118,73.40,307,2466,0.0200,1.008705,0,454.9
119,27.20,166,1433,0.0200,0.983601,0,458.0
120,65.40,217,2020,0.0200,1.110232,0,462.0
121,49.10,238,1987,0.0200,0.954719,0,466.8
122,-0.10,157,1127,0.0200,1.046968,0,469.7
123,53.80,158,1670,0.0200,0.979027,0,472.6
124,534.20,705,3161,0.0200,1.184432,1,485.7
125,5.40,348,1994,0.0200,1.423065,0,491.9
126,54.60,225,1984,0.0200,1.394775,0,496.3
127,38.80,138,1438,0.0200,1.239959,0,498.6
128,33.90,147,1425,0.0200,1.293960,0,501.4
129,21.40,288,2000,0.0200,1.191734,0,506.2
130,56.30,182,1791,0.0200,1.280592,0,510.6
131,26.20,162,1407,0.0200,1.254392,0,513.4
132,-72.90,562,2017,0.0200,1.166486,0,523.4
133,54.00,189,1794,0.0200,1.107522,0,527.1
134,15.80,118,1127,0.0200,1.118070,0,529.1
135,67.90,196,1961,0.0200,1.196855,0,532.7
136,-149.80,869,2475,0.0200,1.123549,0,548.2
137,28.70,252,1793,0.0200,1.022339,0,554.2
138,9.70,132,1125,0.0200,1.067070,0,556.8
139,73.20,194,2005,0.0200,1.022617,0,561.2
140,57.20,179,1786,0.0200,1.131560,0,564.6
141,65.50,166,1817,0.0200,0.963711,0,567.5
142,-621.60,2005,2432,0.0200,0.992312,0,605.1
143,-4.90,169,1124,0.0200,0.906378,0,609.0
144,47.50,175,1673,0.0200,1.041462,0,612.1
145,61.30,206,1937,0.0200,0.896761,0,615.8
146,1.60,361,1958,0.0200,0.925386,0,622.1
147,32.40,412,2469,0.0200,0.928604,0,629.6
148,62.80,207,1956,0.0200,0.964544,0,633.4
149,48.60,168,1658,0.0200,0.923706,0,636.3
150,-142.50,443,845,0.0200,0.932019,0,644.6
151,58.70,218,1959,0.0200,0.876874,0,648.5
152,-12.60,78,686,0.0200,0.873137,0,649.8
153,-6.20,61,680,0.0200,1.086806,0,650.8
154,64.60,217,2014,0.0200,0.939256,0,655.9
155,31.80,261,1983,0.0200,0.956558,0,660.0
156,21.60,105,1135,0.0200,1.004908,0,661.7
157,74.20,192,2008,0.0200,0.959733,0,665.3
158,7.80,137,1126,0.0200,1.012784,0,667.7
